population,run,group,year,contact_type,condition,age_category,cost_location,engage_tier,cost_attributed,total_cost,members,employees,visits,members_clm,hierarchy,pmpy_cost,pmpy_cost_clm,avg_risk,pmpy_cost_risk,pmpy_cost_clm_risk
Outreach,run1,Outreach,2017,Automated Outbound,Total,Total,ER,,Member,1321081.99,3167,2192,820,490,,417.1398769,2696.085694,2.151467597,193.8862,1253.13795
Outreach,run1,Outreach,2017,Automated Outbound,Total,Total,Inpatient,,Member,4690873.02,3167,2192,271,173,,1481.172409,27114.87295,2.151467597,688.4474632,12602.96599
Outreach,run1,Outreach,2017,Automated Outbound,Total,Total,Maternity,,Member,192559.51,3167,2192,141,31,,60.80186612,6211.597097,2.151467597,28.26064692,2887.144155
Outreach,run1,Outreach,2017,Automated Outbound,Total,Total,Medical,,Member,19139264.83,3167,2192,27350,2575,,6043.342226,7432.724206,2.151467597,2808.939458,3454.722821
Outreach,run1,Outreach,2017,Automated Outbound,Total,Total,Office Visit,,Member,243918.94,3167,2192,1300,1007,,77.01892643,242.2233764,2.151467597,35.79832043,112.5851845
Outreach,run1,Outreach,2017,Automated Outbound,Total,Total,Outpatient,,Member,7680322.89,3167,2192,7446,1460,,2425.109848,5260.49513,2.151467597,1127.188647,2445.072906
Outreach,run1,Outreach,2017,Automated Outbound,Total,Total,Pharmacy,,Member,4992949.76,3167,2192,27515,2306,,1576.555024,2165.199376,2.151467597,732.7812076,1006.382517
Outreach,run1,Outreach,2017,Automated Outbound,Total,Total,Professional,,Member,6768068.92,3167,2192,23923,2567,,2137.059968,2636.567558,2.151467597,993.3033486,1225.473979
Outreach,run1,Outreach,2017,Automated Outbound,Total,Total,Total,,Member,24132214.59,3167,2192,,,,7619.89725,,2.151467597,3541.720666,
Outreach,run1,Outreach,2017,Mailers,Total,Total,ER,,Member,1366460.97,3304,2279,876,522,,413.5777754,2617.741322,2.151467597,192.2305388,1216.723564
Outreach,run1,Outreach,2017,Mailers,Total,Total,Inpatient,,Member,4826173.46,3304,2279,281,182,,1460.706253,26517.43659,2.151467597,678.9348141,12325.27816
Outreach,run1,Outreach,2017,Mailers,Total,Total,Maternity,,Member,195563.96,3304,2279,148,34,,59.19006053,5751.881177,2.151467597,27.51148129,2673.468652
Outreach,run1,Outreach,2017,Mailers,Total,Total,Medical,,Member,19631132.79,3304,2279,28175,2681,,5941.626147,7322.317341,2.151467597,2761.661926,3403.40582
Outreach,run1,Outreach,2017,Mailers,Total,Total,Office Visit,,Member,249627.54,3304,2279,1341,1038,,75.55312954,240.4889595,2.151467597,35.11701949,111.7790293
Outreach,run1,Outreach,2017,Mailers,Total,Total,Outpatient,,Member,7848144.98,3304,2279,7660,1522,,2375.346544,5156.468449,2.151467597,1104.058712,2396.721409
Outreach,run1,Outreach,2017,Mailers,Total,Total,Pharmacy,,Member,5049488.49,3304,2279,28274,2397,,1528.295548,2106.586771,2.151467597,710.3502512,979.1394367
Outreach,run1,Outreach,2017,Mailers,Total,Total,Professional,,Member,6956814.35,3304,2279,24693,2671,,2105.573351,2604.57295,2.151467597,978.6683999,1210.602918
Outreach,run1,Outreach,2017,Mailers,Total,Total,Total,,Member,24680621.28,3304,2279,,,,7469.921695,,2.151467597,3472.012177,
Outreach,run1,Outreach,2017,Outbound Outreach,Total,Total,ER,,Member,202223.6,175,100,103,47,,1155.563429,4302.629787,2.151467597,537.1047327,1999.858047
Outreach,run1,Outreach,2017,Outbound Outreach,Total,Total,Inpatient,,Member,1413932.65,175,100,65,36,,8079.615143,39275.90694,2.151467597,3755.397086,18255.4025
Outreach,run1,Outreach,2017,Outbound Outreach,Total,Total,Maternity,,Member,2384.69,175,100,7,1,,13.6268,2384.69,2.151467597,6.333723092,1108.401541
