population,run,group,year,contact_type,age_category,cost_location,engage_tier,cost_attributed,total_cost,members,employees,visits,members_clm,hierarchy,pmpy_cost,pmpy_cost_clm,avg_risk,pmpy_cost_risk,pmpy_cost_clm_risk
Outreach,run1,Outreach,2017,Automated Outbound,Total,Medical,,Member,,,,0,0,,,,,,
Outreach,run1,Outreach,2017,Automated Outbound,Total,Pharmacy,,Member,,,,0,0,,,,,,
Outreach,run1,Outreach,2017,Automated Outbound,Total,Total,,Member,,,,,,,,,,,
Outreach,run1,Outreach,2017,Mailers,Total,Medical,,Member,,,,0,0,,,,,,
Outreach,run1,Outreach,2017,Mailers,Total,Pharmacy,,Member,,,,0,0,,,,,,
Outreach,run1,Outreach,2017,Mailers,Total,Total,,Member,,,,,,,,,,,
Outreach,run1,Outreach,2017,Outbound Outreach,Total,Medical,,Member,,,,0,0,,,,,,
Outreach,run1,Outreach,2017,Outbound Outreach,Total,Pharmacy,,Member,,,,0,0,,,,,,
Outreach,run1,Outreach,2017,Outbound Outreach,Total,Total,,Member,,,,,,,,,,,
Outreach,run1,Outreach,2017,Total,Total,Medical,,Member,,0,0,0,0,,,,,,
Outreach,run1,Outreach,2017,Total,Total,Pharmacy,,Member,,0,0,0,0,,,,,,
Outreach,run1,Outreach,2017,Total,Total,Total,,Member,,0,0,,,,,,,,
Outreach,run1,Outreach,2017,Automated Outbound,Total,Medical,,Employee,,,,0,0,,,,,,
Outreach,run1,Outreach,2017,Automated Outbound,Total,Pharmacy,,Employee,,,,0,0,,,,,,
Outreach,run1,Outreach,2017,Automated Outbound,Total,Total,,Employee,,,,,,,,,,,
Outreach,run1,Outreach,2017,Mailers,Total,Medical,,Employee,,,,0,0,,,,,,
Outreach,run1,Outreach,2017,Mailers,Total,Pharmacy,,Employee,,,,0,0,,,,,,
Outreach,run1,Outreach,2017,Mailers,Total,Total,,Employee,,,,,,,,,,,
Outreach,run1,Outreach,2017,Outbound Outreach,Total,Medical,,Employee,,,,0,0,,,,,,
Outreach,run1,Outreach,2017,Outbound Outreach,Total,Pharmacy,,Employee,,,,0,0,,,,,,
Outreach,run1,Outreach,2017,Outbound Outreach,Total,Total,,Employee,,,,,,,,,,,
Outreach,run1,Outreach,2017,Total,Total,Medical,,Employee,,0,0,0,0,,,,,,
Outreach,run1,Outreach,2017,Total,Total,Pharmacy,,Employee,,0,0,0,0,,,,,,
Outreach,run1,Outreach,2017,Total,Total,Total,,Employee,,0,0,,,,,,,,
Outreach,run1,Outreach,2018,Automated Outbound,Total,ER,,Member,64486.18,277,271,31,22,,232.8020939,2931.19,1.636193248,142.2827617,1791.469317
Outreach,run1,Outreach,2018,Automated Outbound,Total,Inpatient,,Member,153492.04,277,271,8,7,,554.1228881,21927.43429,1.636193248,338.6659179,13401.49418
Outreach,run1,Outreach,2018,Automated Outbound,Total,Maternity,,Member,7838.6,277,271,22,3,,28.29819495,2612.866667,1.636193248,17.29514224,1596.918133
Outreach,run1,Outreach,2018,Automated Outbound,Total,Medical,,Member,991888.55,277,271,2017,230,,3580.82509,4312.558913,1.636193248,2188.509881,2635.727118
Outreach,run1,Outreach,2018,Automated Outbound,Total,Office Visit,,Member,19718.28,277,271,113,94,,71.18512635,209.7689362,1.636193248,43.50655184,128.2054772
Outreach,run1,Outreach,2018,Automated Outbound,Total,Outpatient,,Member,436477.79,277,271,473,133,,1575.732094,3281.787895,1.636193248,963.0476694,2005.745898
Outreach,run1,Outreach,2018,Automated Outbound,Total,Pharmacy,,Member,656617.62,277,271,2465,219,,2370.460722,2998.253973,1.636193248,1448.765741,1832.457124
Outreach,run1,Outreach,2018,Automated Outbound,Total,Professional,,Member,401918.72,277,271,1688,227,,1450.970108,1770.567049,1.636193248,886.796294,1082.125874
Outreach,run1,Outreach,2018,Automated Outbound,Total,Total,,Member,1648506.17,277,271,,,,5951.285812,,1.636193248,3637.275622,
Outreach,run1,Outreach,2018,Mailers,Total,Medical,,Member,,,,0,0,,,,1.636193248,,
Outreach,run1,Outreach,2018,Mailers,Total,Pharmacy,,Member,,,,0,0,,,,1.636193248,,
Outreach,run1,Outreach,2018,Mailers,Total,Total,,Member,,,,,,,,,1.636193248,,
Outreach,run1,Outreach,2018,Outbound Outreach,Total,Medical,,Member,,,,0,0,,,,1.636193248,,
Outreach,run1,Outreach,2018,Outbound Outreach,Total,Pharmacy,,Member,,,,0,0,,,,1.636193248,,
Outreach,run1,Outreach,2018,Outbound Outreach,Total,Total,,Member,,,,,,,,,1.636193248,,
Outreach,run1,Outreach,2018,Total,Total,ER,,Member,64486.18,277,271,31,22,,232.8020939,2931.19,1.636193248,142.2827617,1791.469317
Outreach,run1,Outreach,2018,Total,Total,Inpatient,,Member,153492.04,277,271,8,7,,554.1228881,21927.43429,1.636193248,338.6659179,13401.49418
Outreach,run1,Outreach,2018,Total,Total,Maternity,,Member,7838.6,277,271,22,3,,28.29819495,2612.866667,1.636193248,17.29514224,1596.918133
Outreach,run1,Outreach,2018,Total,Total,Medical,,Member,991888.55,277,271,2017,230,,3580.82509,4312.558913,1.636193248,2188.509881,2635.727118
Outreach,run1,Outreach,2018,Total,Total,Office Visit,,Member,19718.28,277,271,113,94,,71.18512635,209.7689362,1.636193248,43.50655184,128.2054772
Outreach,run1,Outreach,2018,Total,Total,Outpatient,,Member,436477.79,277,271,473,133,,1575.732094,3281.787895,1.636193248,963.0476694,2005.745898
Outreach,run1,Outreach,2018,Total,Total,Pharmacy,,Member,656617.62,277,271,2465,219,,2370.460722,2998.253973,1.636193248,1448.765741,1832.457124
Outreach,run1,Outreach,2018,Total,Total,Professional,,Member,401918.72,277,271,1688,227,,1450.970108,1770.567049,1.636193248,886.796294,1082.125874
Outreach,run1,Outreach,2018,Total,Total,Total,,Member,1648506.17,277,271,,,,5951.285812,,1.636193248,3637.275622,
Outreach,run1,Outreach,2018,Automated Outbound,Total,ER,,Employee,62715.03,277,271,28,20,,,,1.636193248,,
Outreach,run1,Outreach,2018,Automated Outbound,Total,Inpatient,,Employee,140964.62,277,271,7,6,,,,1.636193248,,
Outreach,run1,Outreach,2018,Automated Outbound,Total,Maternity,,Employee,7838.6,277,271,22,3,,,,1.636193248,,
Outreach,run1,Outreach,2018,Automated Outbound,Total,Medical,,Employee,906674.02,277,271,1961,224,,,,1.636193248,,
Outreach,run1,Outreach,2018,Automated Outbound,Total,Office Visit,,Employee,19305.57,277,271,111,92,,,,1.636193248,,
Outreach,run1,Outreach,2018,Automated Outbound,Total,Outpatient,,Employee,375474.84,277,271,449,128,,,,1.636193248,,
Outreach,run1,Outreach,2018,Automated Outbound,Total,Pharmacy,,Employee,584320.22,277,271,2331,214,,,,1.636193248,,
Outreach,run1,Outreach,2018,Automated Outbound,Total,Professional,,Employee,390234.56,277,271,1647,221,,,,1.636193248,,
Outreach,run1,Outreach,2018,Automated Outbound,Total,Total,,Employee,1490994.24,277,271,,,,,,1.636193248,,
Outreach,run1,Outreach,2018,Mailers,Total,Medical,,Employee,,,,0,0,,,,1.636193248,,
Outreach,run1,Outreach,2018,Mailers,Total,Pharmacy,,Employee,,,,0,0,,,,1.636193248,,
Outreach,run1,Outreach,2018,Mailers,Total,Total,,Employee,,,,,,,,,1.636193248,,
Outreach,run1,Outreach,2018,Outbound Outreach,Total,Medical,,Employee,,,,0,0,,,,1.636193248,,
Outreach,run1,Outreach,2018,Outbound Outreach,Total,Pharmacy,,Employee,,,,0,0,,,,1.636193248,,
Outreach,run1,Outreach,2018,Outbound Outreach,Total,Total,,Employee,,,,,,,,,1.636193248,,
Outreach,run1,Outreach,2018,Total,Total,ER,,Employee,62715.03,277,271,28,20,,,,1.636193248,,
Outreach,run1,Outreach,2018,Total,Total,Inpatient,,Employee,140964.62,277,271,7,6,,,,1.636193248,,
Outreach,run1,Outreach,2018,Total,Total,Maternity,,Employee,7838.6,277,271,22,3,,,,1.636193248,,
Outreach,run1,Outreach,2018,Total,Total,Medical,,Employee,906674.02,277,271,1961,224,,,,1.636193248,,
Outreach,run1,Outreach,2018,Total,Total,Office Visit,,Employee,19305.57,277,271,111,92,,,,1.636193248,,
Outreach,run1,Outreach,2018,Total,Total,Outpatient,,Employee,375474.84,277,271,449,128,,,,1.636193248,,
Outreach,run1,Outreach,2018,Total,Total,Pharmacy,,Employee,584320.22,277,271,2331,214,,,,1.636193248,,
Outreach,run1,Outreach,2018,Total,Total,Professional,,Employee,390234.56,277,271,1647,221,,,,1.636193248,,
Outreach,run1,Outreach,2018,Total,Total,Total,,Employee,1490994.24,277,271,,,,,,1.636193248,,
Outreach,run1,Non-Outreach,2017,Total,Total,ER,,Member,7797012.17,28145,11475,4771,3227,,277.0301002,2416.179786,1.331477958,208.0621002,1814.659997
Outreach,run1,Non-Outreach,2017,Total,Total,Inpatient,,Member,25140272.93,28145,11475,973,771,,893.2411771,32607.35789,1.331477958,670.8644119,24489.59646
Outreach,run1,Non-Outreach,2017,Total,Total,Maternity,,Member,688756.01,28145,11475,987,257,,24.47170048,2679.984475,1.331477958,18.37935081,2012.789216
Outreach,run1,Non-Outreach,2017,Total,Total,Medical,,Member,111429210.5,28145,11475,203066,23726,,3959.112117,4696.502172,1.331477958,2973.471768,3527.284958
Outreach,run1,Non-Outreach,2017,Total,Total,Office Visit,,Member,2871742.4,28145,11475,16904,13248,,102.0338391,216.7679952,1.331477958,76.63201516,162.8025413
Outreach,run1,Non-Outreach,2017,Total,Total,Outpatient,,Member,43117026.42,28145,11475,39797,11424,,1531.960434,3774.249512,1.331477958,1150.571382,2834.631613
Outreach,run1,Non-Outreach,2017,Total,Total,Pharmacy,,Member,35564472.91,28145,11475,195614,20392,,1263.616021,1744.040453,1.331477958,949.0326247,1309.853042
Outreach,run1,Non-Outreach,2017,Total,Total,Professional,,Member,43171911.18,28145,11475,175490,23251,,1533.910506,1856.776534,1.331477958,1152.035974,1394.522923
Outreach,run1,Non-Outreach,2017,Total,Total,Total,,Member,146993683.4,28145,11475,,,,5222.728138,,1.331477958,3922.504393,
Outreach,run1,Non-Outreach,2017,Total,Total,ER,,Employee,2855659.53,28145,11475,1756,1194,,,,1.331477958,,
Outreach,run1,Non-Outreach,2017,Total,Total,Inpatient,,Employee,10987845.55,28145,11475,430,348,,,,1.331477958,,
Outreach,run1,Non-Outreach,2017,Total,Total,Maternity,,Employee,285845.05,28145,11475,349,86,,,,1.331477958,,
Outreach,run1,Non-Outreach,2017,Total,Total,Medical,,Employee,49657671.92,28145,11475,86649,9390,,,,1.331477958,,
Outreach,run1,Non-Outreach,2017,Total,Total,Office Visit,,Employee,1118308.44,28145,11475,6073,4649,,,,1.331477958,,
Outreach,run1,Non-Outreach,2017,Total,Total,Outpatient,,Employee,19648681.58,28145,11475,17659,4924,,,,1.331477958,,
Outreach,run1,Non-Outreach,2017,Total,Total,Pharmacy,,Employee,16899195.29,28145,11475,91858,8770,,,,1.331477958,,
Outreach,run1,Non-Outreach,2017,Total,Total,Professional,,Employee,19021144.79,28145,11475,74182,9181,,,,1.331477958,,
Outreach,run1,Non-Outreach,2017,Total,Total,Total,,Employee,66556867.21,28145,11475,,,,,,1.331477958,,
Outreach,run1,Non-Outreach,2018,Total,Total,ER,,Member,7805405.55,34014,13667,4679,3256,,229.4762613,2397.237577,0.988468847,232.153256,2425.202964
Outreach,run1,Non-Outreach,2018,Total,Total,Inpatient,,Member,17499603.48,34014,13667,853,725,,514.4823743,24137.38411,0.988468847,520.4841569,24418.96291
Outreach,run1,Non-Outreach,2018,Total,Total,Maternity,,Member,643350.28,34014,13667,913,311,,18.91427883,2068.650418,0.988468847,19.1349266,2092.782615
Outreach,run1,Non-Outreach,2018,Total,Total,Medical,,Member,99448009.95,34014,13667,187173,27651,,2923.737577,3596.54298,0.988468847,2957.844941,3638.499071
Outreach,run1,Non-Outreach,2018,Total,Total,Office Visit,,Member,2843615.29,34014,13667,16448,13332,,83.60131975,213.292476,0.988468847,84.57658532,215.780676
Outreach,run1,Non-Outreach,2018,Total,Total,Outpatient,,Member,41549962.29,34014,13667,36301,11743,,1221.554721,3538.274912,0.988468847,1235.804978,3579.551266
Outreach,run1,Non-Outreach,2018,Total,Total,Pharmacy,,Member,37605038.94,34014,13667,195634,23825,,1105.57532,1578.385685,0.988468847,1118.472599,1596.798614
Outreach,run1,Non-Outreach,2018,Total,Total,Professional,,Member,40398444.18,34014,13667,161608,26906,,1187.700482,1501.465999,0.988468847,1201.555806,1518.981609
Outreach,run1,Non-Outreach,2018,Total,Total,Total,,Member,137053048.9,34014,13667,,,,4029.312897,,0.988468847,4076.31754,
Outreach,run1,Non-Outreach,2018,Total,Total,ER,,Employee,3379450.38,34014,13667,1820,1262,,,,0.988468847,,
Outreach,run1,Non-Outreach,2018,Total,Total,Inpatient,,Employee,8490009.58,34014,13667,368,302,,,,0.988468847,,
Outreach,run1,Non-Outreach,2018,Total,Total,Maternity,,Employee,257208.49,34014,13667,306,116,,,,0.988468847,,
Outreach,run1,Non-Outreach,2018,Total,Total,Medical,,Employee,46329182.12,34014,13667,79351,10816,,,,0.988468847,,
Outreach,run1,Non-Outreach,2018,Total,Total,Office Visit,,Employee,1037544.78,34014,13667,5640,4493,,,,0.988468847,,
Outreach,run1,Non-Outreach,2018,Total,Total,Outpatient,,Employee,20692576.46,34014,13667,16189,5040,,,,0.988468847,,
Outreach,run1,Non-Outreach,2018,Total,Total,Pharmacy,,Employee,18394440.98,34014,13667,92178,10250,,,,0.988468847,,
Outreach,run1,Non-Outreach,2018,Total,Total,Professional,,Employee,17146596.08,34014,13667,67715,10491,,,,0.988468847,,
Outreach,run1,Non-Outreach,2018,Total,Total,Total,,Employee,64723623.1,34014,13667,,,,,,0.988468847,,
Outreach,run1,Engaged,2017,Biometrics,Total,Medical,,Member,,,,0,0,,,,,,
Outreach,run1,Engaged,2017,Biometrics,Total,Pharmacy,,Member,,,,0,0,,,,,,
Outreach,run1,Engaged,2017,Biometrics,Total,Total,,Member,,,,,,,,,,,
Outreach,run1,Engaged,2017,HA Case Calls,Total,Medical,,Member,,,,0,0,,,,,,
Outreach,run1,Engaged,2017,HA Case Calls,Total,Pharmacy,,Member,,,,0,0,,,,,,
Outreach,run1,Engaged,2017,HA Case Calls,Total,Total,,Member,,,,,,,,,,,
Outreach,run1,Engaged,2017,MEP Login,Total,Medical,,Member,,,,0,0,,,,,,
Outreach,run1,Engaged,2017,MEP Login,Total,Pharmacy,,Member,,,,0,0,,,,,,
Outreach,run1,Engaged,2017,MEP Login,Total,Total,,Member,,,,,,,,,,,
Outreach,run1,Engaged,2017,Tier,Total,Medical,High,Member,,,,0,0,,,,,,
