population,run,group,year,contact_type,condition,age_category,cost_location,engage_tier,cost_attributed,total_cost,members,employees,visits,members_clm,hierarchy,pmpy_cost,pmpy_cost_clm,avg_risk,pmpy_cost_risk,pmpy_cost_clm_risk
Outreach,run1,Outreach,2017,Automated Outbound,Total,Total,ER,,Member,1369193.79,3219,2220,861,510,,425.34755825,2684.6937059,1.9925393066,213.4700966,1347.3730215
Outreach,run1,Outreach,2017,Automated Outbound,Total,Total,Inpatient,,Member,4979139.53,3219,2220,279,176,,1546.796996,28290.565511,1.9925393066,776.29434504,14198.24714
Outreach,run1,Outreach,2017,Automated Outbound,Total,Total,Maternity,,Member,190633.23,3219,2220,146,27,,59.221258155,7060.49,1.9925393066,29.721500579,3543.4633469
Outreach,run1,Outreach,2017,Automated Outbound,Total,Total,Medical,,Member,19682772.15,3219,2220,27808,2622,,6114.5610904,7506.7780892,1.9925393066,3068.7279645,3767.4429129
Outreach,run1,Outreach,2017,Automated Outbound,Total,Total,Office Visit,,Member,240829.77,3219,2220,1294,1014,,74.815088537,237.50470414,1.9925393066,37.547609872,119.1969982
Outreach,run1,Outreach,2017,Automated Outbound,Total,Total,Outpatient,,Member,7752748.99,3219,2220,7601,1475,,2408.4339826,5256.1010102,1.9925393066,1208.7259582,2637.8907522
Outreach,run1,Outreach,2017,Automated Outbound,Total,Total,Pharmacy,,Member,5064498.25,3219,2220,27936,2348,,1573.3141504,2156.941333,1.9925393066,789.60256652,1082.5087997
Outreach,run1,Outreach,2017,Automated Outbound,Total,Total,Professional,,Member,6950883.63,3219,2220,24301,2613,,2159.3301118,2660.1161998,1.9925393066,1083.7076612,1335.0382555
Outreach,run1,Outreach,2017,Automated Outbound,Total,Total,Total,,Member,24747270.4,3219,2220,,,,7687.8752408,,1.9925393066,3858.330531,
Outreach,run1,Outreach,2017,Mailers,Total,Total,ER,,Member,1418990.9,3352,2307,920,544,,423.32664081,2608.4391544,1.9925393066,212.4558544,1309.1029852
